0.0,2,2,1,1
0.1,1,3,3,2
0.2,2,3,2,2
0.3,2,2,3,3
0.4,2,1,2,1
0.5,3,0,3,2
0.6,2,2,4,2
0.7,2,2,5,1
0.8,3,2,2,2
0.9,3,3,3,1
1.0,2,4,3,0
1.1,3,3,4,3
1.2,2,2,1,1
1.3,3,3,0,1
1.4,3,2,1,3
1.5,1,1,1,1
1.6,3,2,3,1
1.7,4,1,3,2
1.8,3,0,5,1
1.9,4,-2,4,2
2.0,3,-1,6,1
2.1,3,2,6,1
2.2,2,2,5,2
2.3,1,4,4,2
2.4,1,4,4,4
2.5,2,3,3,4
2.6,2,3,3,1
2.7,4,2,-1,3
2.8,5,2,-1,2
2.9,5,2,-1,2
3.0,5,3,1,2
3.1,4,1,3,1
3.2,4,2,7,0
3.3,3,1,6,2
3.4,3,2,5,1
3.5,3,1,5,3
3.6,1,0,2,4
3.7,-1,2,4,5
3.8,0,1,3,3
3.9,3,1,2,5
4.0,3,2,2,3
4.1,2,2,3,4
4.2,0,2,2,4
4.3,0,2,2,4
4.4,3,0,2,5
4.5,5,3,2,5
4.6,6,1,3,3
4.7,7,1,3,2
4.8,5,1,1,1
4.9,4,1,2,0
5.0,3,1,3,3
5.1,4,1,1,-1
5.2,2,2,3,1
5.3,2,1,1,3
5.4,2,1,2,4
5.5,4,2,2,4
5.6,2,1,0,3
5.7,2,2,0,3
5.8,1,1,0,2
5.9,1,0,0,2
6.0,2,1,2,3
6.1,1,0,1,4
6.2,3,1,2,3
6.3,1,1,3,2
6.4,2,2,2,2
6.5,4,1,1,3
6.6,4,1,1,4
6.7,6,2,2,5
6.8,6,0,4,3
6.9,6,3,3,4
7.0,7,2,2,5
7.1,7,2,3,6
7.2,10,1,4,9
7.3,11,4,5,10
7.4,14,4,6,13
7.5,18,4,8,14
7.6,19,4,7,17
7.7,22,5,8,15
7.8,12,3,6,10
7.9,15,4,10,10
8.0,18,5,7,10
8.1,23,5,8,15
8.2,26,6,8,19
8.3,33,6,8,20
8.4,37,6,10,24
8.5,37,7,9,26
8.6,38,8,11,25
8.7,42,5,12,24
8.8,42,7,11,25
8.9,39,6,12,24
9.0,39,7,11,25
9.1,40,5,12,25
9.2,39,7,10,24
9.3,40,8,10,27
9.4,38,7,9,26
9.5,39,6,10,27
9.6,38,7,9,28
9.7,37,7,8,28
9.8,38,7,10,26
9.9,38,8,9,26
10.0,38,7,9,26
10.1,40,8,8,26
10.2,39,9,9,26
10.3,37,9,9,26
10.4,37,8,11,28
10.5,40,8,9,26
10.6,38,7,10,27
10.7,39,9,10,27
10.8,39,6,9,28
10.9,39,9,8,26
11.0,38,8,9,26
11.1,36,6,10,27
11.2,37,7,10,25
11.3,37,7,10,26
11.4,39,8,10,26
11.5,38,8,10,28
11.6,37,7,9,28
11.7,39,9,8,27
11.8,39,7,10,27
11.9,39,8,10,28
12.0,39,8,10,27
12.1,39,7,9,27
12.2,39,8,10,28
12.3,39,8,10,27
12.4,39,9,10,26
12.5,40,7,11,26
12.6,39,7,9,26
12.7,39,8,9,26
12.8,37,9,9,26
12.9,39,9,12,27
13.0,38,8,10,27
13.1,40,7,9,27
13.2,39,8,11,28
13.3,36,7,11,26
13.4,37,9,10,26
13.5,38,8,10,27
13.6,37,8,8,26
13.7,39,7,9,26
13.8,39,6,9,28
13.9,38,6,11,25
14.0,38,7,9,28
14.1,39,6,9,28
14.2,37,6,9,25
14.3,39,7,11,28
14.4,38,5,10,26
14.5,36,9,11,26
14.6,39,9,10,28
14.7,39,8,9,25
14.8,38,7,10,27
14.9,38,6,11,27
15.0,38,8,9,26
15.1,39,9,10,27
15.2,40,7,9,26
15.3,41,6,11,28
15.4,43,7,12,26
15.5,44,5,16,21
15.6,41,4,19,19
15.7,33,3,27,17
15.8,25,2,31,18
15.9,19,2,40,16
16.0,15,3,44,14
16.1,9,1,49,10
16.2,8,2,50,10
16.3,6,3,57,10
16.4,5,2,59,9
16.5,5,1,62,8
16.6,5,2,61,9
16.7,4,1,67,8
16.8,5,2,69,9
16.9,5,1,71,9
17.0,6,3,72,7
17.1,7,2,68,6
17.2,5,3,70,6
17.3,7,2,70,7
17.4,7,2,66,6
17.5,5,3,72,7
17.6,6,2,70,7
17.7,3,3,71,6
17.8,7,2,72,6
17.9,6,1,70,6
18.0,6,0,68,6
18.1,5,2,70,6
18.2,4,1,68,7
18.3,5,2,72,6
18.4,4,2,70,9
18.5,4,2,67,6
18.6,4,1,68,8
18.7,5,2,67,8
18.8,5,2,69,9
18.9,4,3,68,7
19.0,4,1,71,7
19.1,5,1,68,7
19.2,5,2,68,6
19.3,3,2,69,7
19.4,5,2,69,6
19.5,5,3,70,7
19.6,5,1,69,7
19.7,4,1,70,8
19.8,4,3,69,7
19.9,6,2,69,6
20.0,6,1,70,8
20.1,5,1,69,6
20.2,5,2,68,7
20.3,4,2,72,6
20.4,5,2,67,6
20.5,4,2,71,6
20.6,5,2,72,5
20.7,6,3,71,6
20.8,4,2,71,6
20.9,6,2,71,7
21.0,4,2,67,7
21.1,5,1,68,6
21.2,4,2,70,6
21.3,4,2,70,5
21.4,5,2,69,6
21.5,5,2,69,6
21.6,5,3,70,8
21.7,4,1,69,7
21.8,5,2,70,7
21.9,5,3,70,6
22.0,4,1,67,5
22.1,5,4,68,6
22.2,3,2,67,5
22.3,5,3,69,6
22.4,6,2,69,6
22.5,4,1,70,5
22.6,4,1,71,5
22.7,5,3,70,7
22.8,4,2,69,7
22.9,6,3,68,6
23.0,6,1,70,7
23.1,6,3,69,8
23.2,5,3,70,7
23.3,4,2,69,6
23.4,4,3,68,6
23.5,5,3,71,6
23.6,5,2,71,6
23.7,5,2,70,6
23.8,4,2,71,6
23.9,6,2,67,6
24.0,5,4,70,6
24.1,5,2,70,7
24.2,5,2,63,8
24.3,8,1,54,9
24.4,8,2,41,10
24.5,12,4,31,12
24.6,23,5,23,14
24.7,37,4,14,18
24.8,33,7,8,24
24.9,24,10,6,26
25.0,19,14,3,15
25.1,16,18,3,9
25.2,12,20,1,7
25.3,10,26,2,4
25.4,8,26,2,3
25.5,9,30,3,2
25.6,8,31,1,3
25.7,7,31,1,4
25.8,6,31,2,4
25.9,8,32,1,3
26.0,7,30,4,3
26.1,7,30,2,3
26.2,6,27,2,3
26.3,5,27,3,2
26.4,7,28,3,2
26.5,5,28,1,3
26.6,5,28,1,4
26.7,6,29,2,4
26.8,6,27,2,3
26.9,6,30,2,3
27.0,5,29,2,4
27.1,6,27,3,3
27.2,5,30,2,3
27.3,6,29,1,4
27.4,5,28,0,4
27.5,6,28,2,4
27.6,6,29,3,3
27.7,5,27,3,5
27.8,6,30,1,3
27.9,5,28,2,2
28.0,6,30,1,3
28.1,6,30,1,3
28.2,6,29,3,2
28.3,5,28,0,3
28.4,6,27,0,3
28.5,6,29,2,4
28.6,7,29,0,3
28.7,6,27,4,3
28.8,6,28,0,2
28.9,5,29,3,2
29.0,6,30,2,3
29.1,6,29,2,3
29.2,6,28,4,4
29.3,5,28,3,3
29.4,6,30,2,3
29.5,7,28,2,2
29.6,6,29,4,4
29.7,5,31,2,3
29.8,6,29,1,2
29.9,6,29,3,4
30.0,6,29,3,2
30.1,7,28,2,3
30.2,6,28,1,5
30.3,6,29,3,4
30.4,5,30,0,2
30.5,6,28,0,2
30.6,7,27,4,3
30.7,7,29,2,3
30.8,6,30,3,3
30.9,5,28,1,3
31.0,6,30,2,1
31.1,6,28,4,2
31.2,7,28,2,3
31.3,5,29,3,3
31.4,6,28,2,2
31.5,7,30,4,3
31.6,5,30,2,4
31.7,5,30,3,3
31.8,6,29,2,2
31.9,6,31,2,3
32.0,6,30,4,3
32.1,5,30,3,3
32.2,5,30,1,5
32.3,5,29,3,3
32.4,6,30,1,3
32.5,6,27,3,2
32.6,6,28,0,3
32.7,5,26,2,3
32.8,5,28,2,3
32.9,6,26,2,2
33.0,5,27,1,4
33.1,6,28,4,3
33.2,6,28,2,3
33.3,6,29,4,4
33.4,5,30,3,3
33.5,5,30,3,3
33.6,4,30,3,2
33.7,6,30,3,3
33.8,6,30,5,3
33.9,7,29,4,3
34.0,5,31,4,2
34.1,5,31,5,3
34.2,5,31,0,3
34.3,6,29,1,2
34.4,6,30,1,3
34.5,6,30,3,3
34.6,7,28,1,5
34.7,7,29,-1,2
34.8,6,29,-1,4
34.9,6,29,-2,3
35.0,6,29,3,4
35.1,5,29,1,4
35.2,6,28,0,3
35.3,5,27,1,3
35.4,7,27,2,3
35.5,7,28,2,3
35.6,6,30,2,4
35.7,5,27,4,3
35.8,6,29,5,3
35.9,7,30,6,4
36.0,6,28,4,3
36.1,6,30,5,2
36.2,6,29,3,2
36.3,5,29,4,3
36.4,6,28,3,3
36.5,5,30,3,2
36.6,5,30,4,3
36.7,5,29,2,3
36.8,3,28,4,4
36.9,5,29,2,3
37.0,4,27,4,2
37.1,4,28,5,3
